|   Work PC     | Personal PC |
|  Build Time   |  Build Time |
|---------------|-------------| Framework tests
|               |             |----------------------------
| approx 28s    | approx ??s  | test_1 - 1000 Files - No headers - No code
| approx 27s    | approx ??s  | test_2 - 1000 Files - All including the same header - No code
| approx 21s    | approx ??s  | test_3 - 1000 Files - Precompiled header - No code
| approx 20s    | approx ??s  | test_4 - 1000 Files - Precompiled header - One header in 10% of files - No code
| approx 20s    | approx ??s  | test_5 - 1000 Files - Precompiled header - One header in 95% of files - No code
| approx 20s    | approx ??s  | test_6 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - No code
|               |             |
|               |             |
|               |             | Single Template tests
|               |             | ----------------------------
| approx 19s    | approx ??s  | test_7 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - struct A {}; in pch.h
| approx 21s    | approx ??s  | test_8 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - struct A {}; in 10%h
| approx 20s    | approx ??s  | test_9 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - struct A {}; in 95%h
|               |             |
| approx 21s    | approx ??s  | test_10 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in pch.h
| approx 35s    | approx ??s  | test_11 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in 10%h
| approx 2m45s  | approx ??s  | test_12 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in 95%h
| approx 2m53s  | approx ??s  | test_13 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - <vector> in all .cpps [100%]
|               |             |
| approx 20s    | approx ??s  | test_14 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector in pch.h
| approx 20s    | approx ??s  | test_15 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector in 10%h
| approx 20s    | approx ??s  | test_16 - 1000 Files - Precompiled header - One header in 10% of files, One header in 95% of files - forward declare std::vector in 95%h
|               |             |
